ind,name,michelin_award,city,country,lat,lon,image,chef,cuisine1,url,url2,Hotel_Name,h_lat,h_lon
1824,P greco,ONE_STAR,Osaka,Japan,34.6961121,135.5058753,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a8cf3562-5149-4101-973c-52518f0b3ca3.jpg,Shunsuke FUKUMOTO,Italian,https://guide.michelin.com/jp/en/osaka-region/osaka/restaurant/p-greco,https://guide.michelin.com/en/osaka-region/osaka/restaurant/p-greco,Maruichi Hotel,34.7010653,135.5028689
1825,PIERRE GAGNAIRE,TWO_STARS,Tokyo,Japan,35.668231,139.741089,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2b033e61-a507-4e3a-9884-4963cb4ea8f5.jpg,Yosuke AKASAKA,French,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/pierre-gagnaire-1194140,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/pierre-gagnaire-1194140,"The Ritz-Carlton, Tokyo",35.6661201,139.7312888
1826,PRISMA,TWO_STARS,Tokyo,Japan,35.66158,139.7166299,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f8f6c7be-0580-4bdb-bce6-02803e7ef16c.JPG,Tomofumi SAITO,Italian,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/prisma-1194160,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/prisma-1194160,HOSHINOYA Tokyo,35.6877316,139.7650363
1827,PRISMA AT FOCUS,ONE_STAR,Vitznau,Switzerland,47.0149878,8.4783699,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/58b0d2e9-973f-41b3-9d07-0522cce13678.jpg,Philipp Heid,Modern Cuisine,https://guide.michelin.com/en/luzern-region/vitznau/restaurant/prisma,https://guide.michelin.com/en/luzern-region/vitznau/restaurant/prisma,Hotel Villa Honegg,46.9948149,8.4030095
1828,PRU,ONE_STAR,Phuket,Thailand,8.0362567,98.2757375,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c154a298-77da-44c6-8bc6-cebd7a623f64.jpg,Jimmy OPHORST,Innovative,https://guide.michelin.com/th/en/phuket-region/phuket/restaurant/pru,https://guide.michelin.com/en/phuket-region/phuket/restaurant/pru,Banyan Tree Phuket,8.0119819,98.2956485
1829,PUR,ONE_STAR,Berchtesgaden,Germany,47.6340765,13.0468265,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/ce312ff67a9b41839e4385865306bc6f,Ulrich Heimann,Classic Cuisine,https://guide.michelin.com/en/bayern/berchtesgaden/restaurant/pur-1187942,https://guide.michelin.com/en/bayern/berchtesgaden/restaurant/pur-1187942,"Hotel Goldener Hirsch, a Luxury Collection Hotel, Salzburg",47.7998886,13.0409664
1830,Paco Roncero,TWO_STARS,Madrid,Spain,40.4176733,-3.7002477,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/9d658390eec04bc78b6b9cbc72e3db7d,Paco Roncero,Creative,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/la-terraza-del-casino,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/la-terraza-del-casino,Relais & Chateaux Heritage Madrid Hotel ® - WEB OFICIAL,40.434877,-3.6789438
1831,Paco Tapas,ONE_STAR,City of Bristol,United Kingdom,51.4471154,-2.5940282,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/ff97aff3eade4ad9b2a1c19e28d50451,Joel Breakwell,Spanish,https://guide.michelin.com/gb/en/south-gloucestershire/bristol/restaurant/paco-tapas,https://guide.michelin.com/en/south-gloucestershire/bristol/restaurant/paco-tapas,Marsh House Serviced Apartments,51.4530273,-2.5960955
1832,Pages,ONE_STAR,Paris,France,48.8711892,2.296947,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/96dcc897-b5cb-4161-93e8-4b39411586a1.jpg,Ryuji TESHIMA,Creative,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pages,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pages,Hôtel d'Aubusson,48.8547358,2.3395366
1833,Palace,ONE_STAR,Helsinki,Finland,60.1653036,24.9523857,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/94de354c-afc1-4e41-897f-025b796360ee.jpg,Eero Vottonen,Modern Cuisine,https://guide.michelin.com/fi/en/uusimaa/helsinki/restaurant/palace,https://guide.michelin.com/en/uusimaa/helsinki/restaurant/palace,Hotel St. George Helsinki,60.1670452,24.9407432
1834,Palais Royal Restaurant,ONE_STAR,Paris,France,48.865799,2.3390068,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/f92c6ace420b41898185f7f1b51714ff,Philip Chronopoulos,Creative,https://guide.michelin.com/en/ile-de-france/paris/restaurant/restaurant-du-palais-royal,https://guide.michelin.com/en/ile-de-france/paris/restaurant/restaurant-du-palais-royal,Hôtel d'Aubusson,48.8547358,2.3395366
